"Function","CPU_CLK_UNHALTED.THREAD","INST_RETIRED.ANY","OFFCORE_RESPONSE_0.ANY_DATA.IO_CSR_MMIO","CACHE_LOCK_CYCLES.L1D","LOAD_HIT_PRE","ARITH.CYCLES_DIV_BUSY","OFFCORE_RESPONSE_0.DATA_IN.ANY_DRAM","ARITH.DIV","ARITH.MUL","BR_INST_RETIRED.ALL_BRANCHES","BR_INST_RETIRED.NEAR_CALL","BR_MISP_EXEC.ANY","CPU_CLK_UNHALTED.REF_P","DTLB_MISSES.ANY","FP_MMX_TRANS.ANY","ILD_STALL.ANY","ILD_STALL.IQ_FULL","ILD_STALL.LCP","ILD_STALL.MRU","ILD_STALL.REGEN","ITLB_MISS_RETIRED","L1I.CYCLES_STALLED","L1I.MISSES","MACHINE_CLEARS.CYCLES","MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_32","MEM_INST_RETIRED.LOADS","MEM_INST_RETIRED.STORES","MEM_LOAD_RETIRED.HIT_LFB","MEM_LOAD_RETIRED.L1D_HIT","MEM_LOAD_RETIRED.L2_HIT","MEM_LOAD_RETIRED.LLC_MISS","MEM_LOAD_RETIRED.LLC_UNSHARED_HIT","MEM_LOAD_RETIRED.OTHER_CORE_L2_HIT_HITM","MEM_UNCORE_RETIRED.LOCAL_DRAM","MEM_UNCORE_RETIRED.OTHER_CORE_L2_HITM","MEM_UNCORE_RETIRED.REMOTE_DRAM","PARTIAL_ADDRESS_ALIAS","RAT_STALLS.ANY","RAT_STALLS.FLAGS","RAT_STALLS.REGISTERS","RAT_STALLS.ROB_READ_PORT","RESOURCE_STALLS.ANY","RESOURCE_STALLS.LOAD","RESOURCE_STALLS.ROB_FULL","RESOURCE_STALLS.RS_FULL","RESOURCE_STALLS.STORE","SQ_FULL_STALL_CYCLES","UOPS_EXECUTED.CORE_STALL_CYCLES","UOPS_ISSUED.ANY","UOPS_ISSUED.CORE_STALL_CYCLES","UOPS_ISSUED.FUSED","UOPS_RETIRED.ANY","UOPS_RETIRED.STALL_CYCLES","Module","Function (Full)"
"randomize","2514000000","3830000000","0","0","0","0","0","0","78000000","592800000","0","1560000","115700000","0","0","1196000000","1066000000","0","0","0","0","0","0","0","3705000","1040000000","442000000","0","988000000","7800000","1482","0","0","0","0","0","0","0","0","0","0","1456000000","0","0","1482000000","26000000","0","208000000","4498000000","1612000000","806000000","5772000000","1092000000","bench-framework","randomize"
"random_next_lookup","796000000","474000000","0","0","0","0","1300000","0","26000000","15600000","79560000","260000","49400000","0","0","494000000","546000000","0","0","0","0","0","0","1560000","0","156000000","0","0","156000000","0","325","0","0","0","0","0","0","0","0","0","0","572000000","0","0","494000000","0","0","78000000","1170000000","520000000","234000000","494000000","520000000","bench-framework","random_next_lookup"
"schedule","268000000","402000000","0","0","0","0","0","0","0","124800000","0","780000","14300000","0","0","52000000","130000000","0","0","0","0","0","0","0","65000","338000000","26000000","0","26000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bench-framework","schedule"
"memcpy","154000000","206000000","0","0","0","0","0","0","0","0","0","0","0","0","0","78000000","130000000","0","0","0","0","0","0","0","1040000","286000000","52000000","62400000","208000000","0","117","0","0","0","0","0","0","0","0","0","0","0","0","0","26000000","0","0","0","0","0","0","104000000","0","libc-2.11.1.so","memcpy"
"_int_free","154000000","112000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2600000","0","0","144534","0","0","260000","0","0","2600000","182000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","libc-2.11.1.so","_int_free"
"clear_page_c","108000000","2000000","0","0","0","0","2600000","0","0","0","0","0","3900000","0","0","104000000","78000000","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","78000000","0","0","0","26000000","0","26000000","0","26000000","26000000","26000000","26000000","vmlinux","clear_page_c"
"arrayfile_fwrite","94000000","212000000","0","0","0","0","0","0","0","31200000","520000","0","7800000","0","0","0","52000000","0","0","0","0","0","0","0","0","52000000","26000000","0","234000000","0","494","0","0","0","0","0","0","0","0","0","0","0","0","0","26000000","0","0","0","130000000","26000000","26000000","286000000","0","bench-framework","arrayfile_fwrite"
"_int_malloc","70000000","150000000","0","0","0","0","0","0","0","20800000","0","0","7800000","0","0","26000000","0","0","0","0","0","0","0","0","0","0","156000000","0","52000000","0","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","182000000","0","0","130000000","0","libc-2.11.1.so","_int_malloc"
"handlerfn","60000000","106000000","0","0","0","0","0","0","0","28600000","8840000","1560000","10400000","0","0","26000000","78000000","0","0","0","0","0","0","260000","0","130000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bench-framework","handlerfn"
"findtcb","56000000","94000000","0","0","0","0","0","0","0","46800000","780000","1300000","10400000","0","0","0","26000000","0","0","0","0","0","0","0","130000","52000000","0","0","26000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","bench-framework","findtcb"
